     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         1,         0,   0.066,correlated_pymatching,cef98edf8df69f7a8abf56c013d437f9727386647d47d8339c325780dc74b74e,"{""d"":3,""p"":0.004641588833612777,""r"":3}","{""obs_mistake_mask=E_"":1}"
         1,         1,         0,   0.079,correlated_pymatching,a72cb44d334a7f98b9219c1c811bef83c54c770800bd5c4d6792bfdcbc5aab50,"{""d"":3,""p"":0.007742636826811269,""r"":3}","{""obs_mistake_mask=_E"":1}"
         1,         0,         0,   0.076,correlated_pymatching,806c078345795276a07e0f2b2e40de5dc70bec2ec4660004c338299ae2b9e762,"{""d"":3,""p"":0.021544346900318832,""r"":3}",
         1,         0,         0,   0.080,correlated_pymatching,67914ec204335141081d49f669bd70d2166750b7a06b5c1550cd5616f9995f4a,"{""d"":3,""p"":0.001668100537200059,""r"":3}",
         1,         1,         0,   0.073,correlated_pymatching,ca67dc72b9bdcb183574db4687e2c6fc33f4a0ffd565e4c8bc62cbb9b2535031,"{""d"":3,""p"":0.03593813663804626,""r"":3}","{""obs_mistake_mask=_E"":1}"
         1,         0,         0,   0.078,correlated_pymatching,928d939e4b8f05fbb76c0268c2783c5517b9bb5d731d14db98e6004bab3c6406,"{""d"":3,""p"":0.001,""r"":3}",
         1,         1,         0,   0.087,correlated_pymatching,55746abbcb2f2693660f4de2ffc80b382e6793533fc4544af8fe48905ebc13c6,"{""d"":3,""p"":0.01291549665014884,""r"":3}","{""obs_mistake_mask=E_"":1}"
         1,         0,         0,   0.091,correlated_pymatching,86d1b852c48e1880827310aea2968cc4234242922b63f379308d795d26748b6f,"{""d"":3,""p"":0.059948425031894084,""r"":3}",
         1,         1,         0,   0.086,correlated_pymatching,47f0c578cd53c5297f9e57b6c5f1db6179f448551c6b86bf181939e1adac82ae,"{""d"":3,""p"":0.1,""r"":3}","{""obs_mistake_mask=EE"":1}"
         1,         0,         0,   0.089,correlated_pymatching,15fdeb3b4bc0bf0b76efed408c05bc0b11af806d2f853fc53e54738ab979f0de,"{""d"":3,""p"":0.0027825594022071257,""r"":3}",
         4,         0,         0,   0.052,correlated_pymatching,67914ec204335141081d49f669bd70d2166750b7a06b5c1550cd5616f9995f4a,"{""d"":3,""p"":0.001668100537200059,""r"":3}",
         8,         2,         0,   0.063,correlated_pymatching,cef98edf8df69f7a8abf56c013d437f9727386647d47d8339c325780dc74b74e,"{""d"":3,""p"":0.004641588833612777,""r"":3}","{""obs_mistake_mask=E_"":1,""obs_mistake_mask=_E"":1}"
         4,         2,         0,   0.060,correlated_pymatching,a72cb44d334a7f98b9219c1c811bef83c54c770800bd5c4d6792bfdcbc5aab50,"{""d"":3,""p"":0.007742636826811269,""r"":3}","{""obs_mistake_mask=E_"":2}"
         4,         4,         0,   0.057,correlated_pymatching,806c078345795276a07e0f2b2e40de5dc70bec2ec4660004c338299ae2b9e762,"{""d"":3,""p"":0.021544346900318832,""r"":3}","{""obs_mistake_mask=EE"":2,""obs_mistake_mask=_E"":2}"
         8,         6,         0,   0.063,correlated_pymatching,ca67dc72b9bdcb183574db4687e2c6fc33f4a0ffd565e4c8bc62cbb9b2535031,"{""d"":3,""p"":0.03593813663804626,""r"":3}","{""obs_mistake_mask=EE"":3,""obs_mistake_mask=E_"":1,""obs_mistake_mask=_E"":2}"
         4,         0,         0,   0.066,correlated_pymatching,928d939e4b8f05fbb76c0268c2783c5517b9bb5d731d14db98e6004bab3c6406,"{""d"":3,""p"":0.001,""r"":3}",
         4,         2,         0,   0.066,correlated_pymatching,55746abbcb2f2693660f4de2ffc80b382e6793533fc4544af8fe48905ebc13c6,"{""d"":3,""p"":0.01291549665014884,""r"":3}","{""obs_mistake_mask=E_"":1,""obs_mistake_mask=_E"":1}"
         4,         3,         0,   0.062,correlated_pymatching,86d1b852c48e1880827310aea2968cc4234242922b63f379308d795d26748b6f,"{""d"":3,""p"":0.059948425031894084,""r"":3}","{""obs_mistake_mask=EE"":1,""obs_mistake_mask=E_"":1,""obs_mistake_mask=_E"":1}"
         4,         3,         0,   0.060,correlated_pymatching,47f0c578cd53c5297f9e57b6c5f1db6179f448551c6b86bf181939e1adac82ae,"{""d"":3,""p"":0.1,""r"":3}","{""obs_mistake_mask=EE"":3}"
         4,         2,         0,   0.057,correlated_pymatching,15fdeb3b4bc0bf0b76efed408c05bc0b11af806d2f853fc53e54738ab979f0de,"{""d"":3,""p"":0.0027825594022071257,""r"":3}","{""obs_mistake_mask=EE"":1,""obs_mistake_mask=E_"":1}"
        32,         2,         0,   0.064,correlated_pymatching,67914ec204335141081d49f669bd70d2166750b7a06b5c1550cd5616f9995f4a,"{""d"":3,""p"":0.001668100537200059,""r"":3}","{""obs_mistake_mask=E_"":1,""obs_mistake_mask=_E"":1}"
        64,        23,         0,   0.067,correlated_pymatching,cef98edf8df69f7a8abf56c013d437f9727386647d47d8339c325780dc74b74e,"{""d"":3,""p"":0.004641588833612777,""r"":3}","{""obs_mistake_mask=EE"":2,""obs_mistake_mask=E_"":19,""obs_mistake_mask=_E"":2}"
        32,        20,         0,   0.064,correlated_pymatching,a72cb44d334a7f98b9219c1c811bef83c54c770800bd5c4d6792bfdcbc5aab50,"{""d"":3,""p"":0.007742636826811269,""r"":3}","{""obs_mistake_mask=EE"":3,""obs_mistake_mask=E_"":10,""obs_mistake_mask=_E"":7}"
        32,        21,         0,   0.072,correlated_pymatching,806c078345795276a07e0f2b2e40de5dc70bec2ec4660004c338299ae2b9e762,"{""d"":3,""p"":0.021544346900318832,""r"":3}","{""obs_mistake_mask=EE"":5,""obs_mistake_mask=E_"":6,""obs_mistake_mask=_E"":10}"
        32,         1,         0,   0.064,correlated_pymatching,928d939e4b8f05fbb76c0268c2783c5517b9bb5d731d14db98e6004bab3c6406,"{""d"":3,""p"":0.001,""r"":3}","{""obs_mistake_mask=E_"":1}"
