     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.045,tesseract,49dde25cc030c1f21cbca25dd3d28ce985c16624ed4c79058b311b16c610c35d,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001,""rounds"":3}",
         1,         0,         0,   0.054,tesseract,0cd4f7e56ab2c00145793911da6d7037a5668d3c6a7bbada271db20e889cb9fd,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001668100537200059,""rounds"":3}",
         8,         0,         0,   0.701,tesseract,49dde25cc030c1f21cbca25dd3d28ce985c16624ed4c79058b311b16c610c35d,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001,""rounds"":3}",
         8,         1,         0,    1.03,tesseract,49dde25cc030c1f21cbca25dd3d28ce985c16624ed4c79058b311b16c610c35d,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001,""rounds"":3}","{""obs_mistake_mask=EE"":1}"
         8,         0,         0,    2.14,tesseract,0cd4f7e56ab2c00145793911da6d7037a5668d3c6a7bbada271db20e889cb9fd,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001668100537200059,""rounds"":3}",
         8,         0,         0,   0.618,tesseract,49dde25cc030c1f21cbca25dd3d28ce985c16624ed4c79058b311b16c610c35d,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001,""rounds"":3}",
         1,         1,         0,    2.55,tesseract,5ecffd13a964f9ea2f4e7d122ae78e45c320494313a08380125dbbc338709c51,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.004641588833612777,""rounds"":3}","{""obs_mistake_mask=EE"":1}"
         4,         0,         0,   0.796,tesseract,0cd4f7e56ab2c00145793911da6d7037a5668d3c6a7bbada271db20e889cb9fd,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001668100537200059,""rounds"":3}",
         8,         0,         0,   0.720,tesseract,49dde25cc030c1f21cbca25dd3d28ce985c16624ed4c79058b311b16c610c35d,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001,""rounds"":3}",
         8,         0,         0,   0.571,tesseract,49dde25cc030c1f21cbca25dd3d28ce985c16624ed4c79058b311b16c610c35d,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001,""rounds"":3}",
         4,         0,         0,   0.757,tesseract,0cd4f7e56ab2c00145793911da6d7037a5668d3c6a7bbada271db20e889cb9fd,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001668100537200059,""rounds"":3}",
         1,         0,         0,   0.621,tesseract,6086e3504dbd6a3144d6dd02e3530001521b8864093c233bc936e048a7175cae,"{""code"":""color_code"",""code_idx"":1,""d"":5,""p"":0.001,""rounds"":5}",
         8,         2,         0,    1.04,tesseract,49dde25cc030c1f21cbca25dd3d28ce985c16624ed4c79058b311b16c610c35d,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001,""rounds"":3}","{""obs_mistake_mask=_E"":2}"
         1,         0,         0,    1.22,tesseract,6086e3504dbd6a3144d6dd02e3530001521b8864093c233bc936e048a7175cae,"{""code"":""color_code"",""code_idx"":1,""d"":5,""p"":0.001,""rounds"":5}",
         4,         3,         0,    1.39,tesseract,0cd4f7e56ab2c00145793911da6d7037a5668d3c6a7bbada271db20e889cb9fd,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001668100537200059,""rounds"":3}","{""obs_mistake_mask=EE"":1,""obs_mistake_mask=_E"":2}"
         2,         0,         0,   0.184,tesseract,0cd4f7e56ab2c00145793911da6d7037a5668d3c6a7bbada271db20e889cb9fd,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001668100537200059,""rounds"":3}",
         8,         0,         0,   0.784,tesseract,49dde25cc030c1f21cbca25dd3d28ce985c16624ed4c79058b311b16c610c35d,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001,""rounds"":3}",
         4,         0,         0,   0.714,tesseract,0cd4f7e56ab2c00145793911da6d7037a5668d3c6a7bbada271db20e889cb9fd,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001668100537200059,""rounds"":3}",
         8,         0,         0,   0.725,tesseract,49dde25cc030c1f21cbca25dd3d28ce985c16624ed4c79058b311b16c610c35d,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001,""rounds"":3}",
         4,         0,         0,   0.394,tesseract,0cd4f7e56ab2c00145793911da6d7037a5668d3c6a7bbada271db20e889cb9fd,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001668100537200059,""rounds"":3}",
