     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.049,correlated_pymatching,4532caa1216b951a1dcf4b2341fe6f6c72f2a7ccb62ce341c6fd1bb335a9f43e,"{""d"":3,""p"":0.001,""r"":3}",
         8,         0,         0,   0.036,correlated_pymatching,4532caa1216b951a1dcf4b2341fe6f6c72f2a7ccb62ce341c6fd1bb335a9f43e,"{""d"":3,""p"":0.001,""r"":3}",
         1,         0,         0,   0.038,correlated_pymatching,99f1ea571a3405d966d267861070616c38b42cd93bffe78f3b392ccdb659ca91,"{""d"":3,""p"":0.021544346900318832,""r"":3}",
         1,         1,         0,   0.036,correlated_pymatching,cd44dd4d4c009098a3e1055a86cb4a2bd288b33ed5d88056149c53df894409b1,"{""d"":3,""p"":0.007742636826811269,""r"":3}","{""obs_mistake_mask=_E"":1}"
         1,         1,         0,   0.037,correlated_pymatching,504db423588d25e5a5135eb5c9bdc1712f78bf649fe32b6579efb9b8219c038d,"{""d"":3,""p"":0.1,""r"":3}","{""obs_mistake_mask=_E"":1}"
         1,         0,         0,   0.038,correlated_pymatching,cf795d69266f0b54a108054be4c1ad239673603963ada734c3f55a9164757806,"{""d"":3,""p"":0.004641588833612777,""r"":3}",
         1,         0,         0,   0.036,correlated_pymatching,ef8d3da999626c864e3b7c068e706c6b74af0fe3870af88a44f27e94d52cf44c,"{""d"":3,""p"":0.03593813663804626,""r"":3}",
         1,         0,         0,   0.038,correlated_pymatching,20617a375a1be9b1b1165f73f10640194772454e3790f91cae66d9b5ddcf7ddd,"{""d"":3,""p"":0.0027825594022071257,""r"":3}",
         1,         1,         0,   0.038,correlated_pymatching,4d4b21b3d33e2442de2aa8f961e8ce10503b7d4ee250354b8af02c8bd191c73f,"{""d"":3,""p"":0.059948425031894084,""r"":3}","{""obs_mistake_mask=EE"":1}"
         1,         1,         0,   0.039,correlated_pymatching,3723ad224a6fca780562e03c55b46541e4c44a1b781fcf77204bb665ed65c1b7,"{""d"":3,""p"":0.01291549665014884,""r"":3}","{""obs_mistake_mask=EE"":1}"
