     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.015,correlated_pymatching,bb443dac09bde403296efc8c24817ea11c419366ff10ed539e61f56af8e7ecd1,"{""d"":3.0,""p"":0.0001,""r"":3.0}",
         1,         1,         0,   0.023,correlated_pymatching,9a55954f9cdb899fd455ee4c79356838ecf58aa040a45ec57a175739415ad40d,"{""d"":3.0,""p"":0.1,""r"":3.0}","{""obs_mistake_mask=E"":1}"
         1,         1,         0,   0.028,correlated_pymatching,8f3d41d60bc7f2f94d2bacfd2411cc1484385f82bfa7a2d2088f3bc500483fee,"{""d"":3.0,""p"":0.01,""r"":3.0}","{""obs_mistake_mask=E"":1}"
         1,         0,         0,   0.038,correlated_pymatching,2d4165c59842469e580186953be819acf1657a97a48459fb619f1b63d7e71eb9,"{""d"":3.0,""p"":0.002154434690031882,""r"":3.0}",
         1,         0,         0,   0.044,correlated_pymatching,e283e9997c1dca1b74f7003d28d05cebe22cf5bf60a08c9d596efd46ac3ff5b6,"{""d"":3.0,""p"":0.00021544346900318845,""r"":3.0}",
         1,         0,         0,   0.028,correlated_pymatching,0d00ed142763757e40346c900459bab7349be32cfc9800fd9f1942d88128289a,"{""d"":3.0,""p"":0.00046415888336127773,""r"":3.0}",
        16,         0,         0,   0.024,correlated_pymatching,bb443dac09bde403296efc8c24817ea11c419366ff10ed539e61f56af8e7ecd1,"{""d"":3.0,""p"":0.0001,""r"":3.0}",
         1,         0,         0,   0.042,correlated_pymatching,3c30ae3be811a2286f127e6c938f5d2f5bd50490c05cf333cf89a008449b8df6,"{""d"":3.0,""p"":0.001,""r"":3.0}",
         1,         0,         0,   0.037,correlated_pymatching,58067b7893c0649e6897888ccd06bdae98c2b3427510f00c5e2a6196d1164003,"{""d"":3.0,""p"":0.004641588833612777,""r"":3.0}",
         1,         0,         0,   0.030,correlated_pymatching,534a1c2b0a22e96cae7699b86a5f851542a162e00e7e21f88e9e0a83a73bcdea,"{""d"":3.0,""p"":0.021544346900318822,""r"":3.0}",
        16,         9,         0,   0.031,correlated_pymatching,9a55954f9cdb899fd455ee4c79356838ecf58aa040a45ec57a175739415ad40d,"{""d"":3.0,""p"":0.1,""r"":3.0}","{""obs_mistake_mask=E"":9}"
         1,         0,         0,   0.059,correlated_pymatching,278b441728508851f7b43654b88d0aa873193b798225912f66ad993a33be041b,"{""d"":3.0,""p"":0.046415888336127774,""r"":3.0}",
        16,         5,         0,   0.033,correlated_pymatching,8f3d41d60bc7f2f94d2bacfd2411cc1484385f82bfa7a2d2088f3bc500483fee,"{""d"":3.0,""p"":0.01,""r"":3.0}","{""obs_mistake_mask=E"":5}"
