     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.001,tesseract,3deb5d0a5b2239ffdc92667576cb1dd530b163b309fdc7951ace98ccce5a1d25,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.00021544346900318845,""rounds"":3}",
         1,         0,         0,   0.001,tesseract,b627886eb12bcfd2be444e1d4bfd2b9283f5c38d2c0550bb09dca91a6c785407,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001,""rounds"":3}",
        17,         0,         0,   0.038,tesseract,2bf55ae8821629497eaf4ddcc25b4429d28dcf21df064d1bde1ca3442bf06df2,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.0001,""rounds"":3}",
        16,         0,         0,   0.093,tesseract,3deb5d0a5b2239ffdc92667576cb1dd530b163b309fdc7951ace98ccce5a1d25,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.00021544346900318845,""rounds"":3}",
         1,         0,         0,   0.103,tesseract,6802cffecfeedd2d5fe702c1cd5d3d3b151f759b3d3490bff2d19b0038f858ff,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.002154434690031882,""rounds"":3}",
         1,         0,         0,   0.096,tesseract,228d9ba9a36a76547dac6ae678e2a1458e8b095ce93082d096c6c43a33dbafa3,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.00046415888336127773,""rounds"":3}",
         4,         0,         0,   0.111,tesseract,228d9ba9a36a76547dac6ae678e2a1458e8b095ce93082d096c6c43a33dbafa3,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.00046415888336127773,""rounds"":3}",
         4,         0,         0,   0.154,tesseract,6802cffecfeedd2d5fe702c1cd5d3d3b151f759b3d3490bff2d19b0038f858ff,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.002154434690031882,""rounds"":3}",
        64,         2,         0,   0.193,tesseract,3deb5d0a5b2239ffdc92667576cb1dd530b163b309fdc7951ace98ccce5a1d25,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.00021544346900318845,""rounds"":3}","{""obs_mistake_mask=E"":2}"
        16,         0,         0,   0.334,tesseract,b627886eb12bcfd2be444e1d4bfd2b9283f5c38d2c0550bb09dca91a6c785407,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001,""rounds"":3}",
         1,         0,         0,   0.297,tesseract,6c4dd869b514d54cb6512d77de0254470b7bff924bc46b55b76b5023eca0f230,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.004641588833612777,""rounds"":3}",
         2,         1,         0,   0.104,tesseract,6c4dd869b514d54cb6512d77de0254470b7bff924bc46b55b76b5023eca0f230,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.004641588833612777,""rounds"":3}","{""obs_mistake_mask=E"":1}"
        16,         0,         0,   0.229,tesseract,228d9ba9a36a76547dac6ae678e2a1458e8b095ce93082d096c6c43a33dbafa3,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.00046415888336127773,""rounds"":3}",
        16,         1,         0,   0.606,tesseract,b627886eb12bcfd2be444e1d4bfd2b9283f5c38d2c0550bb09dca91a6c785407,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001,""rounds"":3}","{""obs_mistake_mask=E"":1}"
       256,         0,         0,   0.976,tesseract,2bf55ae8821629497eaf4ddcc25b4429d28dcf21df064d1bde1ca3442bf06df2,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.0001,""rounds"":3}",
       128,         0,         0,   0.738,tesseract,3deb5d0a5b2239ffdc92667576cb1dd530b163b309fdc7951ace98ccce5a1d25,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.00021544346900318845,""rounds"":3}",
        32,         0,         0,   0.617,tesseract,228d9ba9a36a76547dac6ae678e2a1458e8b095ce93082d096c6c43a33dbafa3,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.00046415888336127773,""rounds"":3}",
         1,         0,         0,   0.015,tesseract,8868eda089691af3844ed8f944337211fbda6e09db817d20e4a304c1495756fc,"{""code"":""color_code"",""code_idx"":1,""d"":5,""p"":0.00021544346900318845,""rounds"":5}",
         1,         0,         0,   0.111,tesseract,e2f2fef84895ff70b3e7806483d65dc563239b0a036b0706d510e3424d8da373,"{""code"":""color_code"",""code_idx"":1,""d"":5,""p"":0.00046415888336127773,""rounds"":5}",
         1,         0,         0,   0.251,tesseract,db12f2e992edd694c1069a50f9c742b677f03f11f9163eed39ead0c9fbd27bec,"{""code"":""color_code"",""code_idx"":1,""d"":5,""p"":0.001,""rounds"":5}",
         8,         1,         0,    1.06,tesseract,6802cffecfeedd2d5fe702c1cd5d3d3b151f759b3d3490bff2d19b0038f858ff,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.002154434690031882,""rounds"":3}","{""obs_mistake_mask=E"":1}"
         4,         0,         0,   0.225,tesseract,e2f2fef84895ff70b3e7806483d65dc563239b0a036b0706d510e3424d8da373,"{""code"":""color_code"",""code_idx"":1,""d"":5,""p"":0.00046415888336127773,""rounds"":5}",
       256,         0,         0,   0.496,tesseract,2bf55ae8821629497eaf4ddcc25b4429d28dcf21df064d1bde1ca3442bf06df2,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.0001,""rounds"":3}",
