     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.017,correlated_pymatching,469ed0a1029a85e43a8423d93e5772974a8ed7cd211c80644b5625cdc6e90d45,"{""d"":3.0,""p"":0.00046415888336127773,""r"":3.0}",
         1,         0,         0,   0.025,correlated_pymatching,e1cac51cf27cc11ccdd7045143616c4681854a0f697a40559c930dacb6fc08cb,"{""d"":3.0,""p"":0.046415888336127774,""r"":3.0}",
         1,         0,         0,   0.016,correlated_pymatching,11f6eb8199c1352add54e63058a1363f3f0476a602b6b50f324cd9556d08b06f,"{""d"":3.0,""p"":0.002154434690031882,""r"":3.0}",
         1,         0,         0,   0.032,correlated_pymatching,9b7a3de31bd52a3816cf58268fdd9c2393c9c1bdec1aa49450cb771991447405,"{""d"":3.0,""p"":0.021544346900318822,""r"":3.0}",
         1,         1,         0,   0.029,correlated_pymatching,06858e388d21d66cbb48871a551ef27792975c3fb4a04b054a275989e32267b0,"{""d"":3.0,""p"":0.004641588833612777,""r"":3.0}","{""obs_mistake_mask=E"":1}"
         1,         0,         0,   0.032,correlated_pymatching,28f626991bd03a16cab263e35e8ae373757e0fd71cc553f9169b1e631355c7c0,"{""d"":3.0,""p"":0.1,""r"":3.0}",
         1,         0,         0,   0.018,correlated_pymatching,3d5305584e2a69d74a756bf129e68f0096a401a6675ba453b72b13c5ebc9cd27,"{""d"":3.0,""p"":0.001,""r"":3.0}",
        17,         0,         0,   0.018,correlated_pymatching,d03e8ad66fc8e042fc07334756dfcfa1ba79773f7827218083e3aa032ca79802,"{""d"":3.0,""p"":0.0001,""r"":3.0}",
        17,         5,         0,   0.018,correlated_pymatching,581681ce86e077f1cb76fe18f749727e3f468f15d0192fd7015102418413595b,"{""d"":3.0,""p"":0.01,""r"":3.0}","{""obs_mistake_mask=E"":5}"
       272,         0,         0,   0.018,correlated_pymatching,469ed0a1029a85e43a8423d93e5772974a8ed7cd211c80644b5625cdc6e90d45,"{""d"":3.0,""p"":0.00046415888336127773,""r"":3.0}",
        17,         0,         0,   0.018,correlated_pymatching,24978d4f30d011ee4e5902aea4aa94a596fe54b62f28bafd09637c5bff3e5260,"{""d"":3.0,""p"":0.00021544346900318845,""r"":3.0}",
       272,         4,         0,   0.018,correlated_pymatching,3d5305584e2a69d74a756bf129e68f0096a401a6675ba453b72b13c5ebc9cd27,"{""d"":3.0,""p"":0.001,""r"":3.0}","{""obs_mistake_mask=E"":4}"
       272,         6,         0,   0.024,correlated_pymatching,11f6eb8199c1352add54e63058a1363f3f0476a602b6b50f324cd9556d08b06f,"{""d"":3.0,""p"":0.002154434690031882,""r"":3.0}","{""obs_mistake_mask=E"":6}"
       256,        97,         0,   0.016,correlated_pymatching,581681ce86e077f1cb76fe18f749727e3f468f15d0192fd7015102418413595b,"{""d"":3.0,""p"":0.01,""r"":3.0}","{""obs_mistake_mask=E"":97}"
       272,       141,         0,   0.030,correlated_pymatching,9b7a3de31bd52a3816cf58268fdd9c2393c9c1bdec1aa49450cb771991447405,"{""d"":3.0,""p"":0.021544346900318822,""r"":3.0}","{""obs_mistake_mask=E"":141}"
      1280,         0,         0,   0.018,correlated_pymatching,d03e8ad66fc8e042fc07334756dfcfa1ba79773f7827218083e3aa032ca79802,"{""d"":3.0,""p"":0.0001,""r"":3.0}",
      1280,         3,         0,   0.019,correlated_pymatching,24978d4f30d011ee4e5902aea4aa94a596fe54b62f28bafd09637c5bff3e5260,"{""d"":3.0,""p"":0.00021544346900318845,""r"":3.0}","{""obs_mistake_mask=E"":3}"
      2048,         4,         0,   0.022,correlated_pymatching,469ed0a1029a85e43a8423d93e5772974a8ed7cd211c80644b5625cdc6e90d45,"{""d"":3.0,""p"":0.00046415888336127773,""r"":3.0}","{""obs_mistake_mask=E"":4}"
       272,       145,         0,   0.039,correlated_pymatching,28f626991bd03a16cab263e35e8ae373757e0fd71cc553f9169b1e631355c7c0,"{""d"":3.0,""p"":0.1,""r"":3.0}","{""obs_mistake_mask=E"":145}"
         1,         0,         0,   0.039,correlated_pymatching,9f994ca2c284ecd4c6e4c283545775538ed576a847027c596efdaebe2f30a826,"{""d"":5.0,""p"":0.021544346900318822,""r"":5.0}",
         1,         0,         0,   0.039,correlated_pymatching,a50f81865d6b6d34201cc5fbf035f39862052f16ef076d797da2bafce6e88841,"{""d"":5.0,""p"":0.00046415888336127773,""r"":5.0}",
      2048,         1,         0,   0.020,correlated_pymatching,d03e8ad66fc8e042fc07334756dfcfa1ba79773f7827218083e3aa032ca79802,"{""d"":3.0,""p"":0.0001,""r"":3.0}","{""obs_mistake_mask=E"":1}"
         1,         0,         0,   0.040,correlated_pymatching,745961ec464dc090b9d2800818153a5191b18eda07e56d80217194f95b8f8bbd,"{""d"":5.0,""p"":0.0001,""r"":5.0}",
         1,         1,         0,   0.039,correlated_pymatching,2eb63c04cbebca677734a02fde5034345dc945f28721ef0d0d86317d2174d8db,"{""d"":5.0,""p"":0.01,""r"":5.0}","{""obs_mistake_mask=E"":1}"
      2048,         1,         0,   0.020,correlated_pymatching,24978d4f30d011ee4e5902aea4aa94a596fe54b62f28bafd09637c5bff3e5260,"{""d"":3.0,""p"":0.00021544346900318845,""r"":3.0}","{""obs_mistake_mask=E"":1}"
         1,         0,         0,   0.040,correlated_pymatching,7ad32b5dc12cb010842a45b0255bb9fe1695566bc49cdf3831eb02a6048175bd,"{""d"":5.0,""p"":0.001,""r"":5.0}",
         1,         0,         0,   0.040,correlated_pymatching,0458b096363f784bc48a6acbe9b1b091cc7d95b1ad4588fa8c17b28c6bf7761f,"{""d"":5.0,""p"":0.046415888336127774,""r"":5.0}",
         1,         0,         0,   0.040,correlated_pymatching,606c3e923ec90a17c893a84c53b1dac06004c7a078654ff843df3a8c87b49144,"{""d"":5.0,""p"":0.004641588833612777,""r"":5.0}",
      2048,       103,         0,   0.036,correlated_pymatching,11f6eb8199c1352add54e63058a1363f3f0476a602b6b50f324cd9556d08b06f,"{""d"":3.0,""p"":0.002154434690031882,""r"":3.0}","{""obs_mistake_mask=E"":103}"
      1024,       394,         0,   0.036,correlated_pymatching,581681ce86e077f1cb76fe18f749727e3f468f15d0192fd7015102418413595b,"{""d"":3.0,""p"":0.01,""r"":3.0}","{""obs_mistake_mask=E"":394}"
         1,         0,         0,   0.053,correlated_pymatching,2e5e2e3e7a74d8ea5dcf398c0972d0c2503acf1083ae9653707b46510d0c62ea,"{""d"":5.0,""p"":0.00021544346900318845,""r"":5.0}",
       272,        48,         0,   0.064,correlated_pymatching,06858e388d21d66cbb48871a551ef27792975c3fb4a04b054a275989e32267b0,"{""d"":3.0,""p"":0.004641588833612777,""r"":3.0}","{""obs_mistake_mask=E"":48}"
      3072,         5,         0,   0.032,correlated_pymatching,469ed0a1029a85e43a8423d93e5772974a8ed7cd211c80644b5625cdc6e90d45,"{""d"":3.0,""p"":0.00046415888336127773,""r"":3.0}","{""obs_mistake_mask=E"":5}"
