     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.001,tesseract,6749d924716c6113867de7734ce63730979d501ec193bcb9ca4c91a5bb84901d,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.0001,""rounds"":3}",
         1,         0,         0,   0.001,tesseract,ca55ea090ba0ed975d407e693712f945f30d8c15a11527b03b00a7a701b64cd3,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.00046415888336127773,""rounds"":3}",
         1,         0,         0,   0.008,tesseract,0204fb05ffddca4c169092c9c41361f1ce83705708c54b084148236bb8ccead0,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.002154434690031882,""rounds"":3}",
         1,         0,         0,   0.046,tesseract,aaa1bbff1bab9d6561335e389159340ae0fa2b7cc71506200f4a055797900b84,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.004641588833612777,""rounds"":3}",
         1,         0,         0,   0.001,tesseract,604f428ea3cd73c373e3e40bd1cde49f3ecc664a0f1edc0f8dd06e4d90406307,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.00021544346900318845,""rounds"":3}",
        16,         0,         0,   0.022,tesseract,604f428ea3cd73c373e3e40bd1cde49f3ecc664a0f1edc0f8dd06e4d90406307,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.00021544346900318845,""rounds"":3}",
        16,         0,         0,   0.087,tesseract,ca55ea090ba0ed975d407e693712f945f30d8c15a11527b03b00a7a701b64cd3,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.00046415888336127773,""rounds"":3}",
        17,         0,         0,   0.321,tesseract,95ec834659b2ce20a2292ed0d27ba66c4a2a5c2ca9d826ab85fe342a3abb87cc,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001,""rounds"":3}",
       272,         0,         0,   0.681,tesseract,6749d924716c6113867de7734ce63730979d501ec193bcb9ca4c91a5bb84901d,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.0001,""rounds"":3}",
        64,         0,         0,   0.687,tesseract,ca55ea090ba0ed975d407e693712f945f30d8c15a11527b03b00a7a701b64cd3,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.00046415888336127773,""rounds"":3}",
        16,         0,         0,   0.430,tesseract,95ec834659b2ce20a2292ed0d27ba66c4a2a5c2ca9d826ab85fe342a3abb87cc,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001,""rounds"":3}",
         8,         3,         0,   0.942,tesseract,aaa1bbff1bab9d6561335e389159340ae0fa2b7cc71506200f4a055797900b84,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.004641588833612777,""rounds"":3}","{""obs_mistake_mask=E"":3}"
         1,         0,         0,   0.040,tesseract,27002b974f97a5007b9cc2c5608a254476370b4e0f18870f409e2acddd83b77a,"{""code"":""color_code"",""code_idx"":1,""d"":5,""p"":0.0001,""rounds"":5}",
         1,         0,         0,   0.133,tesseract,3cbe4f70f28684755b24d74c5902527ef555192b5093693630faac25cc507dbd,"{""code"":""color_code"",""code_idx"":1,""d"":5,""p"":0.00046415888336127773,""rounds"":5}",
