     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.009,correlated_pymatching,c081ed77ef9e31c036710e93872b1988069ada7715f80ffb1e4f526d74d8d753,"{""d"":3.0,""p"":0.001,""r"":3.0}",
         1,         0,         0,   0.010,correlated_pymatching,230a33bd4b19c836033e873298520be9f4756a9adba5eb4a9b27fbadbb23c001,"{""d"":3.0,""p"":0.00046415888336127773,""r"":3.0}",
         1,         0,         0,   0.009,correlated_pymatching,a86f5d63906250b4006ed1f007dcd07b45f75101d22651a228a6d871643f1dc2,"{""d"":3.0,""p"":0.01,""r"":3.0}",
         1,         0,         0,   0.015,correlated_pymatching,3ff5e208e6b76d3eb4e957d28e66058d6f9266124b7e5e941f0dab4b55388fe7,"{""d"":3.0,""p"":0.0001,""r"":3.0}",
         1,         0,         0,   0.018,correlated_pymatching,0644420a66cb8993c53e811a3767f0ae326e5f58ffe85d57c011c2540a542cf3,"{""d"":3.0,""p"":0.046415888336127774,""r"":3.0}",
         1,         1,         0,   0.016,correlated_pymatching,42d09b92c03c4d31f3a31a1cba0f84301a4f05c85b30db9573991ea77a84c5a4,"{""d"":3.0,""p"":0.021544346900318822,""r"":3.0}","{""obs_mistake_mask=E"":1}"
         1,         0,         0,   0.016,correlated_pymatching,46d8ba4edbf534216cac2b15e79663f2687541b2dc02d9abd255ddfcd312e88a,"{""d"":3.0,""p"":0.1,""r"":3.0}",
         1,         0,         0,   0.017,correlated_pymatching,bcaa5c5f7df17b611d5f7e125d817eeac0164be571be02d4c9501ed3d77a5f12,"{""d"":3.0,""p"":0.004641588833612777,""r"":3.0}",
         1,         0,         0,   0.016,correlated_pymatching,f48a1a7573d5dc37bebfd2d23ab60f34439beb692589eaccdc215bd16c4b5370,"{""d"":3.0,""p"":0.00021544346900318845,""r"":3.0}",
       272,         1,         0,   0.017,correlated_pymatching,c081ed77ef9e31c036710e93872b1988069ada7715f80ffb1e4f526d74d8d753,"{""d"":3.0,""p"":0.001,""r"":3.0}","{""obs_mistake_mask=E"":1}"
         1,         0,         0,   0.026,correlated_pymatching,4cb6cac4b1d944cd6764347a09707db68682ebe68c122ec7fc75ecc8be8a51d9,"{""d"":3.0,""p"":0.002154434690031882,""r"":3.0}",
       272,         1,         0,   0.017,correlated_pymatching,230a33bd4b19c836033e873298520be9f4756a9adba5eb4a9b27fbadbb23c001,"{""d"":3.0,""p"":0.00046415888336127773,""r"":3.0}","{""obs_mistake_mask=E"":1}"
       272,         0,         0,   0.016,correlated_pymatching,3ff5e208e6b76d3eb4e957d28e66058d6f9266124b7e5e941f0dab4b55388fe7,"{""d"":3.0,""p"":0.0001,""r"":3.0}",
       272,        92,         0,   0.023,correlated_pymatching,a86f5d63906250b4006ed1f007dcd07b45f75101d22651a228a6d871643f1dc2,"{""d"":3.0,""p"":0.01,""r"":3.0}","{""obs_mistake_mask=E"":92}"
        16,         0,         0,   0.014,correlated_pymatching,4cb6cac4b1d944cd6764347a09707db68682ebe68c122ec7fc75ecc8be8a51d9,"{""d"":3.0,""p"":0.002154434690031882,""r"":3.0}",
       272,         0,         0,   0.017,correlated_pymatching,f48a1a7573d5dc37bebfd2d23ab60f34439beb692589eaccdc215bd16c4b5370,"{""d"":3.0,""p"":0.00021544346900318845,""r"":3.0}",
       272,        27,         0,   0.019,correlated_pymatching,bcaa5c5f7df17b611d5f7e125d817eeac0164be571be02d4c9501ed3d77a5f12,"{""d"":3.0,""p"":0.004641588833612777,""r"":3.0}","{""obs_mistake_mask=E"":27}"
      2048,         9,         0,   0.021,correlated_pymatching,c081ed77ef9e31c036710e93872b1988069ada7715f80ffb1e4f526d74d8d753,"{""d"":3.0,""p"":0.001,""r"":3.0}","{""obs_mistake_mask=E"":9}"
       272,       141,         0,   0.029,correlated_pymatching,42d09b92c03c4d31f3a31a1cba0f84301a4f05c85b30db9573991ea77a84c5a4,"{""d"":3.0,""p"":0.021544346900318822,""r"":3.0}","{""obs_mistake_mask=E"":141}"
      2048,         6,         0,   0.020,correlated_pymatching,230a33bd4b19c836033e873298520be9f4756a9adba5eb4a9b27fbadbb23c001,"{""d"":3.0,""p"":0.00046415888336127773,""r"":3.0}","{""obs_mistake_mask=E"":6}"
         1,         0,         0,   0.038,correlated_pymatching,80c44e915a981af8af51acc088922b07074e67f978d596f56e5bb6df96b53467,"{""d"":5.0,""p"":0.00046415888336127773,""r"":5.0}",
         1,         0,         0,   0.038,correlated_pymatching,10f518392001f33bca4fa428c5efb2bb60491194cc454617388c7f025d9e60f0,"{""d"":5.0,""p"":0.001,""r"":5.0}",
         1,         1,         0,   0.039,correlated_pymatching,d43fca3c138fde507072000d28922528314c5c1ef032fa9ab776497ac8ca7cb4,"{""d"":5.0,""p"":0.01,""r"":5.0}","{""obs_mistake_mask=E"":1}"
       272,       130,         0,   0.035,correlated_pymatching,0644420a66cb8993c53e811a3767f0ae326e5f58ffe85d57c011c2540a542cf3,"{""d"":3.0,""p"":0.046415888336127774,""r"":3.0}","{""obs_mistake_mask=E"":130}"
         1,         0,         0,   0.038,correlated_pymatching,07807d39d72e883d00b6153cb286a3dab7f470e2b337331618a6ab70378f11f8,"{""d"":5.0,""p"":0.004641588833612777,""r"":5.0}",
       272,       127,         0,   0.038,correlated_pymatching,46d8ba4edbf534216cac2b15e79663f2687541b2dc02d9abd255ddfcd312e88a,"{""d"":3.0,""p"":0.1,""r"":3.0}","{""obs_mistake_mask=E"":127}"
