     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.001,tesseract,f2f7d9bcbbe3388ff0b82487a08a58f2cb7b277cadc45aac6544838640a49095,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.0001,""rounds"":3}",
         1,         0,         0,   0.001,tesseract,5eecfaa6f089c17c84eedb4c98ff915bf24e213b640221318845db9fc9087760,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.00021544346900318845,""rounds"":3}",
         1,         0,         0,   0.007,tesseract,dbdd1b5722d46fac2ce543e5ef42d37d32d2361d2135f40c6bb865eabe2b9d34,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001,""rounds"":3}",
         1,         0,         0,   0.009,tesseract,0da58b41e410dfe2ebd757f4982692468a3748e32bb3dee16f94630b28b5109f,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.00046415888336127773,""rounds"":3}",
         1,         0,         0,   0.052,tesseract,33152cfabb02032756763519de1e9256200065fea4d4a761f493f2a389445361,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.002154434690031882,""rounds"":3}",
        16,         0,         0,   0.052,tesseract,f2f7d9bcbbe3388ff0b82487a08a58f2cb7b277cadc45aac6544838640a49095,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.0001,""rounds"":3}",
        16,         0,         0,   0.138,tesseract,0da58b41e410dfe2ebd757f4982692468a3748e32bb3dee16f94630b28b5109f,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.00046415888336127773,""rounds"":3}",
        16,         0,         0,   0.155,tesseract,5eecfaa6f089c17c84eedb4c98ff915bf24e213b640221318845db9fc9087760,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.00021544346900318845,""rounds"":3}",
        32,         0,         0,   0.117,tesseract,5eecfaa6f089c17c84eedb4c98ff915bf24e213b640221318845db9fc9087760,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.00021544346900318845,""rounds"":3}",
       128,         0,         0,   0.273,tesseract,f2f7d9bcbbe3388ff0b82487a08a58f2cb7b277cadc45aac6544838640a49095,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.0001,""rounds"":3}",
        16,         0,         0,   0.333,tesseract,dbdd1b5722d46fac2ce543e5ef42d37d32d2361d2135f40c6bb865eabe2b9d34,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001,""rounds"":3}",
         1,         0,         0,   0.345,tesseract,47a97b429f95d1c3bb878b65810c45ef43a940192e99f097edd3d314971b82dd,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.004641588833612777,""rounds"":3}",
        64,         2,         0,   0.385,tesseract,0da58b41e410dfe2ebd757f4982692468a3748e32bb3dee16f94630b28b5109f,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.00046415888336127773,""rounds"":3}","{""obs_mistake_mask=E"":2}"
         1,         0,         0,   0.287,tesseract,47a97b429f95d1c3bb878b65810c45ef43a940192e99f097edd3d314971b82dd,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.004641588833612777,""rounds"":3}",
         1,         0,         0,   0.003,tesseract,7fc61f0d88b6cb021976410edcc3feb7fa0e39b2e0b557a8cafdcb187173a9fa,"{""code"":""color_code"",""code_idx"":1,""d"":5,""p"":0.00021544346900318845,""rounds"":5}",
         1,         0,         0,   0.015,tesseract,fdd3dfc55c881c0c2d1e7aad75dee68af7fe29093473fde953820f067ff8ede9,"{""code"":""color_code"",""code_idx"":1,""d"":5,""p"":0.0001,""rounds"":5}",
        16,         2,         0,   0.505,tesseract,dbdd1b5722d46fac2ce543e5ef42d37d32d2361d2135f40c6bb865eabe2b9d34,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.001,""rounds"":3}","{""obs_mistake_mask=E"":2}"
         1,         0,         0,   0.849,tesseract,012c7ef6aeb3ded185ae4e5888b32be74f4ca72f3c1027947fb02055a0cc0a60,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.01,""rounds"":3}",
         8,         3,         0,   0.861,tesseract,33152cfabb02032756763519de1e9256200065fea4d4a761f493f2a389445361,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.002154434690031882,""rounds"":3}","{""obs_mistake_mask=E"":3}"
         1,         0,         0,   0.306,tesseract,dc207c925b72c72b774d79beac8aa22baadb44ef5908eb0e07dbab1b48724963,"{""code"":""color_code"",""code_idx"":1,""d"":5,""p"":0.001,""rounds"":5}",
       128,         1,         0,   0.696,tesseract,5eecfaa6f089c17c84eedb4c98ff915bf24e213b640221318845db9fc9087760,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.00021544346900318845,""rounds"":3}","{""obs_mistake_mask=E"":1}"
       256,         1,         0,   0.646,tesseract,f2f7d9bcbbe3388ff0b82487a08a58f2cb7b277cadc45aac6544838640a49095,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.0001,""rounds"":3}","{""obs_mistake_mask=E"":1}"
         2,         2,         0,   0.356,tesseract,47a97b429f95d1c3bb878b65810c45ef43a940192e99f097edd3d314971b82dd,"{""code"":""color_code"",""code_idx"":0,""d"":3,""p"":0.004641588833612777,""rounds"":3}","{""obs_mistake_mask=E"":2}"
         1,         0,         0,   0.171,tesseract,dc207c925b72c72b774d79beac8aa22baadb44ef5908eb0e07dbab1b48724963,"{""code"":""color_code"",""code_idx"":1,""d"":5,""p"":0.001,""rounds"":5}",
