     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         1,         0,   0.014,correlated_pymatching,c2ee825deafe783a462ac9c8fed7664cafe09b3434eb74c5b130babf22b5dc81,"{""d"":3.0,""p"":0.01,""r"":3.0}","{""obs_mistake_mask=E"":1}"
         1,         1,         0,   0.014,correlated_pymatching,c7ade3d0ca81f581a79a44e386edf28b21bfc66103ac2ac7d8e4fee170dba66f,"{""d"":3.0,""p"":0.004641588833612777,""r"":3.0}","{""obs_mistake_mask=E"":1}"
         1,         0,         0,   0.016,correlated_pymatching,f989af7d8757b7b1dc4b7c5ccb305775f8abd78056b05ce6b6ff616bd0cd1e6f,"{""d"":3.0,""p"":0.0001,""r"":3.0}",
         1,         0,         0,   0.019,correlated_pymatching,1d92e2c778b67ce655b89e4b9df1092099d3d8da8d65658c9bc5e7b6f14f6e1f,"{""d"":3.0,""p"":0.001,""r"":3.0}",
         1,         1,         0,   0.020,correlated_pymatching,f20b04760bf06c73cb5345c8a6f711489b821d87c95d8f6e70f358df96900a1e,"{""d"":3.0,""p"":0.021544346900318822,""r"":3.0}","{""obs_mistake_mask=E"":1}"
         1,         0,         0,   0.020,correlated_pymatching,82d4625cd258701e8a7fb9579967149923f58366fdafb54fc33e0ab2ef56f22e,"{""d"":3.0,""p"":0.00021544346900318845,""r"":3.0}",
         1,         1,         0,   0.020,correlated_pymatching,7b489410955c7ac27a1d9a60a81af6aad4844733edd6ccf2f417fb0011e43405,"{""d"":3.0,""p"":0.1,""r"":3.0}","{""obs_mistake_mask=E"":1}"
         1,         0,         0,   0.015,correlated_pymatching,4468f5c016be5488f1b5f3ffea14971e50e389c05de360d892a92d2e3c88c46c,"{""d"":3.0,""p"":0.002154434690031882,""r"":3.0}",
         1,         0,         0,   0.019,correlated_pymatching,c2c15e3406a1fc2fec9f6ffa5afa2a4a4872108563a5d9df529b9e4188cc3bd1,"{""d"":3.0,""p"":0.00046415888336127773,""r"":3.0}",
        16,         0,         0,   0.014,correlated_pymatching,1d92e2c778b67ce655b89e4b9df1092099d3d8da8d65658c9bc5e7b6f14f6e1f,"{""d"":3.0,""p"":0.001,""r"":3.0}",
        16,         0,         0,   0.016,correlated_pymatching,82d4625cd258701e8a7fb9579967149923f58366fdafb54fc33e0ab2ef56f22e,"{""d"":3.0,""p"":0.00021544346900318845,""r"":3.0}",
        16,        10,         0,   0.016,correlated_pymatching,7b489410955c7ac27a1d9a60a81af6aad4844733edd6ccf2f417fb0011e43405,"{""d"":3.0,""p"":0.1,""r"":3.0}","{""obs_mistake_mask=E"":10}"
         1,         1,         0,   0.032,correlated_pymatching,9639084745e39b725e8cc79fbf0e271be79fd3f87259600c0188ec95b222fd30,"{""d"":3.0,""p"":0.046415888336127774,""r"":3.0}","{""obs_mistake_mask=E"":1}"
        16,         7,         0,   0.019,correlated_pymatching,f20b04760bf06c73cb5345c8a6f711489b821d87c95d8f6e70f358df96900a1e,"{""d"":3.0,""p"":0.021544346900318822,""r"":3.0}","{""obs_mistake_mask=E"":7}"
        16,         2,         0,   0.024,correlated_pymatching,c7ade3d0ca81f581a79a44e386edf28b21bfc66103ac2ac7d8e4fee170dba66f,"{""d"":3.0,""p"":0.004641588833612777,""r"":3.0}","{""obs_mistake_mask=E"":2}"
        16,         1,         0,   0.023,correlated_pymatching,4468f5c016be5488f1b5f3ffea14971e50e389c05de360d892a92d2e3c88c46c,"{""d"":3.0,""p"":0.002154434690031882,""r"":3.0}","{""obs_mistake_mask=E"":1}"
       272,         0,         0,   0.028,correlated_pymatching,f989af7d8757b7b1dc4b7c5ccb305775f8abd78056b05ce6b6ff616bd0cd1e6f,"{""d"":3.0,""p"":0.0001,""r"":3.0}",
       272,       113,         0,   0.033,correlated_pymatching,c2ee825deafe783a462ac9c8fed7664cafe09b3434eb74c5b130babf22b5dc81,"{""d"":3.0,""p"":0.01,""r"":3.0}","{""obs_mistake_mask=E"":113}"
       256,         0,         0,   0.020,correlated_pymatching,82d4625cd258701e8a7fb9579967149923f58366fdafb54fc33e0ab2ef56f22e,"{""d"":3.0,""p"":0.00021544346900318845,""r"":3.0}",
       256,         1,         0,   0.023,correlated_pymatching,1d92e2c778b67ce655b89e4b9df1092099d3d8da8d65658c9bc5e7b6f14f6e1f,"{""d"":3.0,""p"":0.001,""r"":3.0}","{""obs_mistake_mask=E"":1}"
       272,         1,         0,   0.036,correlated_pymatching,c2c15e3406a1fc2fec9f6ffa5afa2a4a4872108563a5d9df529b9e4188cc3bd1,"{""d"":3.0,""p"":0.00046415888336127773,""r"":3.0}","{""obs_mistake_mask=E"":1}"
       256,        37,         0,   0.024,correlated_pymatching,c7ade3d0ca81f581a79a44e386edf28b21bfc66103ac2ac7d8e4fee170dba66f,"{""d"":3.0,""p"":0.004641588833612777,""r"":3.0}","{""obs_mistake_mask=E"":37}"
        16,        11,         0,   0.028,correlated_pymatching,9639084745e39b725e8cc79fbf0e271be79fd3f87259600c0188ec95b222fd30,"{""d"":3.0,""p"":0.046415888336127774,""r"":3.0}","{""obs_mistake_mask=E"":11}"
      1024,         1,         0,   0.021,correlated_pymatching,c2c15e3406a1fc2fec9f6ffa5afa2a4a4872108563a5d9df529b9e4188cc3bd1,"{""d"":3.0,""p"":0.00046415888336127773,""r"":3.0}","{""obs_mistake_mask=E"":1}"
       256,       124,         0,   0.042,correlated_pymatching,f20b04760bf06c73cb5345c8a6f711489b821d87c95d8f6e70f358df96900a1e,"{""d"":3.0,""p"":0.021544346900318822,""r"":3.0}","{""obs_mistake_mask=E"":124}"
      2048,         0,         0,   0.036,correlated_pymatching,f989af7d8757b7b1dc4b7c5ccb305775f8abd78056b05ce6b6ff616bd0cd1e6f,"{""d"":3.0,""p"":0.0001,""r"":3.0}",
      1280,        63,         0,   0.045,correlated_pymatching,4468f5c016be5488f1b5f3ffea14971e50e389c05de360d892a92d2e3c88c46c,"{""d"":3.0,""p"":0.002154434690031882,""r"":3.0}","{""obs_mistake_mask=E"":63}"
      2048,         3,         0,   0.040,correlated_pymatching,82d4625cd258701e8a7fb9579967149923f58366fdafb54fc33e0ab2ef56f22e,"{""d"":3.0,""p"":0.00021544346900318845,""r"":3.0}","{""obs_mistake_mask=E"":3}"
       256,       144,         0,   0.062,correlated_pymatching,7b489410955c7ac27a1d9a60a81af6aad4844733edd6ccf2f417fb0011e43405,"{""d"":3.0,""p"":0.1,""r"":3.0}","{""obs_mistake_mask=E"":144}"
      2048,        24,         0,   0.048,correlated_pymatching,1d92e2c778b67ce655b89e4b9df1092099d3d8da8d65658c9bc5e7b6f14f6e1f,"{""d"":3.0,""p"":0.001,""r"":3.0}","{""obs_mistake_mask=E"":24}"
      1024,       178,         0,   0.044,correlated_pymatching,c7ade3d0ca81f581a79a44e386edf28b21bfc66103ac2ac7d8e4fee170dba66f,"{""d"":3.0,""p"":0.004641588833612777,""r"":3.0}","{""obs_mistake_mask=E"":178}"
      2048,        10,         0,   0.036,correlated_pymatching,c2c15e3406a1fc2fec9f6ffa5afa2a4a4872108563a5d9df529b9e4188cc3bd1,"{""d"":3.0,""p"":0.00046415888336127773,""r"":3.0}","{""obs_mistake_mask=E"":10}"
      1024,       423,         0,   0.071,correlated_pymatching,c2ee825deafe783a462ac9c8fed7664cafe09b3434eb74c5b130babf22b5dc81,"{""d"":3.0,""p"":0.01,""r"":3.0}","{""obs_mistake_mask=E"":423}"
      2048,         2,         0,   0.037,correlated_pymatching,f989af7d8757b7b1dc4b7c5ccb305775f8abd78056b05ce6b6ff616bd0cd1e6f,"{""d"":3.0,""p"":0.0001,""r"":3.0}","{""obs_mistake_mask=E"":2}"
      1024,        44,         0,   0.037,correlated_pymatching,4468f5c016be5488f1b5f3ffea14971e50e389c05de360d892a92d2e3c88c46c,"{""d"":3.0,""p"":0.002154434690031882,""r"":3.0}","{""obs_mistake_mask=E"":44}"
         1,         0,         0,   0.084,correlated_pymatching,4552da301c33225537c328b309766b9a9b6f35af4935d2f0ae1b8498bbcb8ce2,"{""d"":5.0,""p"":0.0001,""r"":5.0}",
         1,         0,         0,   0.079,correlated_pymatching,af75a492d271f83bdcd6e53be32ae73191e0724a0738399a0513164420804e12,"{""d"":5.0,""p"":0.002154434690031882,""r"":5.0}",
         1,         1,         0,   0.086,correlated_pymatching,8339d129c465dbc7f9992ec22e21a9bdcb5ebf45e9a7c66724d5a5e50029c657,"{""d"":5.0,""p"":0.01,""r"":5.0}","{""obs_mistake_mask=E"":1}"
      1024,       158,         0,   0.039,correlated_pymatching,c7ade3d0ca81f581a79a44e386edf28b21bfc66103ac2ac7d8e4fee170dba66f,"{""d"":3.0,""p"":0.004641588833612777,""r"":3.0}","{""obs_mistake_mask=E"":158}"
       256,       121,         0,   0.084,correlated_pymatching,9639084745e39b725e8cc79fbf0e271be79fd3f87259600c0188ec95b222fd30,"{""d"":3.0,""p"":0.046415888336127774,""r"":3.0}","{""obs_mistake_mask=E"":121}"
      2048,        22,         0,   0.047,correlated_pymatching,1d92e2c778b67ce655b89e4b9df1092099d3d8da8d65658c9bc5e7b6f14f6e1f,"{""d"":3.0,""p"":0.001,""r"":3.0}","{""obs_mistake_mask=E"":22}"
